customer_id,duration_days
6,360
79,360
80,330
1,330
43,120
92,150
2,180
89,240
60,300
96,90
18,90
14,330
28,150
75,90
87,240
42,360
77,300
12,90
16,240
52,270
79,300
12,90
58,150
15,120
68,180
49,270
79,270
99,360
4,150
32,360
15,210
98,150
10,120
16,150
94,240
73,330
10,210
12,360
89,330
88,300
84,210
100,300
78,240
39,150
23,90
48,270
46,300
41,90
14,120
28,270
14,210
19,150
54,210
26,90
17,330
32,150
81,300
88,90
27,240
62,240
44,120
92,330
88,90
36,150
27,150
35,210
3,210
34,90
4,330
28,90
64,180
46,120
40,330
26,240
22,180
15,240
4,330
38,90
49,150
69,330
36,150
48,90
11,210
92,210
45,150
83,270
33,270
84,270
78,330
34,150
88,240
37,180
49,90
23,120
49,120
41,360
68,180
68,300
60,90
3,270
26,90
98,360
5,120
23,300
24,360
57,180
96,360
62,300
45,120
10,360
26,120
3,180
14,240
28,300
53,120
16,150
47,120
76,360
10,120
90,330
76,270
3,240
58,330
39,360
9,210
2,360
73,210
47,240
18,240
86,120
48,120
43,240
75,90
43,330
36,150
2,360
78,210
53,210
39,120
21,150
43,270
84,180
8,330
59,150
2,210
70,180
85,180
4,150
48,90
27,360
